Player,Week,TD,INT,PassRating,QB Rating,sk,sk yds,att,yds,EPA,Pass EPA,ANY/A,Result,Opponent,
Trevor Lawerence,1,3,3,70.1,16.8,1,13,51,332,-0.4,0,4.88,L,HOU,
Trevor Lawerence,2,1,2,37.2,26.3,1,4,33,118,1.7,-1.1,1.38,L,DEN,
Trevor Lawerence,3,1,2,68.1,25.2,3,17,34,219,0,0.7,4.26,L,ARI,
Trevor Lawerence,4,0,0,96.5,83.1,1,2,24,204,6.8,5.2,8.78,L,CIN,
Trevor Lawerence,5,1,1,92.1,31,2,17,22,273,2.4,3,11.55,L,TEN,
Trevor Lawerence,6,1,0,93.4,52.8,2,7,41,319,7.7,7.8,8.51,W,MIA,
Trevor Lawerence,8,1,1,68.3,11.5,1,11,54,238,-1,-0.6,3.81,L,SEA,
Trevor Lawerence,9,0,0,69.1,37,2,12,26,118,1.5,1.2,4.42,W,BUF,
Trevor Lawerence,10,,,,,,,,,,,#DIV/0!,,IND,
Trevor Lawerence,11,,,,,,,,,,,#DIV/0!,,SFO,
Trevor Lawerence,12,,,,,,,,,,,#DIV/0!,,ATL,
Mac Jones,1,1,0,102.6,64.2,1,13,39,281,8.1,8.2,7.58,L,MIA,
Mac Jones,2,0,0,89,26.3,3,27,30,186,0.9,1,5.89,W,NYJ,
Mac Jones,3,1,3,55.2,49.9,2,19,51,270,4.6,3.7,2.78,L,NOR,
Mac Jones,4,2,1,101.6,50.2,4,25,40,275,6.6,5.7,6.81,L,TAM,
Mac Jones,5,1,1,95.3,65.4,1,5,30,231,4.5,4.5,6.93,W,HOU,
Mac Jones,6,2,1,118.9,46.4,2,14,21,229,2.5,2.8,11.05,L,DAL,
Mac Jones,7,2,0,111.7,68.5,1,8,36,307,5.9,4.3,9.69,W,NYJ,
Mac Jones,8,0,0,70.8,47.2,1,7,35,217,4,4,6.18,W,LAC,
Mac Jones,9,1,1,85.2,27.1,2,17,18,139,0.4,0.8,6.06,W,CAR,
Mac Jones,10,,,,,,,,,,,#DIV/0!,,CLE,
Mac Jones,11,,,,,,,,,,,#DIV/0!,,ATL,
Mac Jones,12,,,,,,,,,,,#DIV/0!,,TEN,
Zach Wilson,1,2,1,82.9,34,6,51,37,258,1.7,0.9,6.52,L,CAR,
Zach Wilson,2,0,4,37,7.1,4,26,33,210,-1.5,-3.8,0.14,L,NWE ,
Zach Wilson,3,0,2,42.6,14.6,5,41,35,160,-0.9,-1,0.97,L,DEN,
Zach Wilson,4,2,1,97.3,43.3,1,8,34,297,3.9,6,8.61,W,TEN,
Zach Wilson,5,0,1,63.5,16.8,2,26,32,192,1,-0.1,4.03,L,ATL,
Zach Wilson,10,,,,,,,,,,,#DIV/0!,,BUF,
Zach Wilson,11,,,,,,,,,,,#DIV/0!,,MIA,
Zach Wilson,12,,,,,,,,,,,#DIV/0!,,HOU,
Davis Mills,3,1,0,95.5,55.1,4,17,28,168,4,3,7.13,L,CAR,
Davis Mills,4,0,4,23.4,0.7,3,26,21,87,-4.9,-4.6,-6.61,L,BUR,
Davis Mills,5,3,0,141.7,83.4,3,19,29,312,8,7.6,13.58,L,NWE,
Davis Mills,6,0,2,62.5,25.8,2,14,43,243,1.5,1.8,3.39,L,IND,
Davis Mills,7,0,0,79.6,24.8,2,17,32,135,-0.3,-0.2,3.93,L,ARI,
Davis Mills,8,2,1,106.2,12.6,5,31,38,310,-0.9,-0.8,8.3,L,LAR,
Justin Fields,3,0,0,41.2,6.4,9,67,20,68,-2.4,-3.7,0.09,L,CLE,
Justin Fields,4,0,1,82.7,70,1,24,17,209,4,2.9,8.75,W,DET,
Justin Fields,5,1,0,91.9,29.8,2,10,20,111,1,3.3,6.72,W,LVR,
Justin Fields,6,1,1,75.2,41.1,4,37,27,174,3.6,2.2,4.87,L,GNB,
Justin Fields,7,0,3,44.3,1.6,4,16,32,184,-4,-3.7,1.18,L,TAM,
Justin Fields,8,1,1,84.6,63.4,4,27,27,175,7,3.8,5.35,L,SFO,
Justin Fields,9,1,1,89.9,54.4,3,13,29,291,4.6,3.8,9.73,L,PIT,
Justin Fields,11,,,,,,,,,,,#DIV/0!,,BAL,
Justin Fields,12,,,,,,,,,,,#DIV/0!,,DET,
